Seat Comfort,Cabin Staff Service,Ground Service,Food & Beverages,Inflight Entertainment,Value For Money,Review Sentiment,Seat_Types_Business Class,Seat_Types_Economy Class,Seat_Types_First Class,Seat_Types_Premium Economy,Type_of_Travellers_Business,Type_of_Travellers_Couple Leisure,Type_of_Travellers_Family Leisure,Type_of_Travellers_Solo Leisure,index,Recommended
1.0,1.0,2.0,1.0,3.0,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,no
1.0,3.0,1.0,2.0,1.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,no
1.0,1.0,1.0,1.0,1.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3,no
3.0,2.0,1.0,3.0,3.0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4,no
2.0,2.0,1.0,2.0,3.0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5,no
3.0,1.0,3.0,1.0,1.0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13,no
1.0,3.0,1.0,1.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14,no
4.0,3.0,4.0,3.0,3.0,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17,yes
2.0,4.0,4.0,3.0,3.0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,18,no
1.0,1.0,3.0,2.0,1.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19,no
3.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,22,no
1.0,1.0,1.0,1.0,1.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23,no
4.0,5.0,5.0,3.0,5.0,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29,yes
4.0,5.0,1.0,3.0,2.0,4,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,33,yes
4.0,5.0,4.0,5.0,5.0,4,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34,yes
1.0,1.0,1.0,1.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,36,no
3.0,5.0,1.0,4.0,5.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,39,no
5.0,5.0,5.0,5.0,5.0,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42,yes
4.0,5.0,4.0,5.0,3.0,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44,yes
2.0,3.0,1.0,1.0,1.0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,48,no
1.0,4.0,1.0,1.0,1.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,49,no
