VIN,County,City,State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1H27E,Snohomish,Auburn,,2015,GMC,Safari,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,203.0,60716.6,15,147849132,POINT (-120.611068 46.596645),PUGET SOUND ENERGY INC,53055806996.4
KNDJX3AE8G,Snohomish,Yakima,,2014,Spyker,C8 Double 12 S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,111.5,54736.8,2,144375536,POINT (-120.2658133 46.4063477),PUD NO 1 OF CHELAN COUNTY,53069375145.8
5YJSA1DP4D,King,Yakima,,2014,Mercedes-Benz,CL-Class,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,172.3,37392.4,10,170828105,POINT (-120.6860209 47.7095564),PACIFICORP,53071664646.2
5YJSA1DP4D,Yakima,Leavenworth,,2016,Mercedes-Benz,SL-Class,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,185.0,55594.3,5,167601672,POINT (-120.6860209 47.7095564),PUD NO 1 OF CHELAN COUNTY,53025828919.3
5YJSA1H27E,Kitsap,Port Orchard,,2014,Lexus,IS F,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,196.4,34125.8,1,163146860,POINT (-120.611068 46.596645),PUGET SOUND ENERGY INC,53047603088.2
5YJSA1H27E,Kitsap,Yakima,,2013,Aston Martin,V8 Vantage S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,101.0,56095.5,27,148551355,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53024673925.0
KNDJX3AE8G,Yakima,Auburn,,2016,Mercedes-Benz,C-Class,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153.1,64557.1,18,186652857,POINT (-122.206146 47.839957),PUD NO 1 OF CHELAN COUNTY,53050749782.0
5YJSA1H27E,Snohomish,Zillah,AB,2016,Maybach,57,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,188.9,58452.0,29,151394645,POINT (-122.2202561 47.3077398),PACIFICORP,53062734084.0
5YJSA1H11E,Kitsap,Yakima,,2015,Dodge,Viper RT/10,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,193.7,45727.8,1,151308785,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53060491009.3
5YJSA1H27E,Snohomish,Leavenworth,11,2013,Acura,TL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,127.7,59798.9,19,127402877,POINT (-120.2658133 46.4063477),PACIFICORP,53043833380.0
KNDJX3AE8G,Chelan,Auburn,,2014,Audi,A8,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,202.5,45082.8,24,186632775,POINT (-120.611068 46.596645),PACIFICORP,53014686587.8
5YJSA1H11E,Chelan,Auburn,,2015,Dodge,Intrepid,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,100.3,53924.0,9,141724290,POINT (-120.6860209 47.7095564),PUGET SOUND ENERGY INC,53047210616.6
5YJSA1H27E,King,Bothell,,2013,Ford,E-Series,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,163.4,49801.7,1,186587467,POINT (-122.2202561 47.3077398),PUD NO 1 OF CHELAN COUNTY,53056516714.3
