VIN,County,City,State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
KNDJX3AE8G,Snohomish,Yakima,,2013,GMC,Savana 2500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,186.9,61477.68,20,136965554,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53069941895.4
5YJSA1DP4D,Chelan,Auburn,,2015,Chevrolet,Silverado 1500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,232.8,45793.74,21,187819050,POINT (-120.611068 46.596645),PACIFICORP,53058110040.4
KNDJX3AE8G,Kitsap,Auburn,,2014,Nissan,Rogue,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,164.5,39788.85,11,178022964,POINT (-122.206146 47.839957),PUD NO 1 OF CHELAN COUNTY,53037053848.1
KNDJX3AE8G,Kitsap,Yakima,,2013,Mazda,Mazda6,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,111.6,47193.88,27,192573681,POINT (-120.2658133 46.4063477),PACIFICORP,53071581466.2
KNDJX3AE8G,King,Zillah,,2014,Hyundai,Elantra,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,164.8,73512.31,49,170590170,POINT (-120.611068 46.596645),PACIFICORP,53033771808.5
5YJSA1H27E,Yakima,Port Orchard,,2013,Oldsmobile,Achieva,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,160.8,90379.48,49,165433055,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53043679703.1
5YJSA1H10E,Yakima,Auburn,,2016,Volkswagen,New Beetle,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,173.6,109997.59,46,187498887,POINT (-120.2658133 46.4063477),PUGET SOUND ENERGY INC,53044178934.3
KNDJX3AE8G,Kitsap,Leavenworth,,2016,Dodge,Ram Van 3500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,136.1,62303.15,14,156780545,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53056262888.7
5YJSA1H11E,Kitsap,Auburn,B4,2013,Land Rover,Discovery Series II,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,98.2,73999.67,17,167326678,POINT (-120.2658133 46.4063477),PUGET SOUND ENERGY INC,53067734787.2
KNDJX3AE8G,King,Bothell,,2015,Mazda,B-Series,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,223.5,106332.9,26,168117931,POINT (-120.6860209 47.7095564),PACIFICORP,53053474069.4
KNDJX3AE8G,Snohomish,Auburn,,2015,Jeep,Grand Cherokee,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,127.0,90178.42,25,145026057,POINT (-120.6860209 47.7095564),PUGET SOUND ENERGY INC,53063989000.9
5YJSA1H10E,Yakima,Yakima,,2014,GMC,Safari,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,152.4,109412.04,33,136903085,POINT (-122.6064912 47.5236145),PUD NO 1 OF CHELAN COUNTY,53046295430.0
KNDJX3AE8G,King,Yakima,,2014,GMC,Suburban 1500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,214.3,61446.75,10,144772190,POINT (-120.2658133 46.4063477),PACIFICORP,53018650211.9
