VIN (1-10),County,City,State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
KNDJX3AE8G,Yakima,Yakima,WA,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,14.0,169289970,POINT (-120.611068 46.596645),PACIFICORP,53077000402.0
5YJSA1DP4D,Yakima,Zillah,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,15.0,161861780,POINT (-120.2658133 46.4063477),PACIFICORP,53077002201.0
5YJSA1H10E,Kitsap,Port Orchard,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,26.0,127169892,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53035092500.0
5YJSA1H27E,Chelan,Leavenworth,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,12.0,190374691,POINT (-120.6860209 47.7095564),PUD NO 1 OF CHELAN COUNTY,53007960203.0
5YJSA1H10E,Snohomish,Bothell,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,1.0,192953134,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061051921.0
5YJSA1H11E,King,Auburn,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,31.0,180892435,POINT (-122.2202561 47.3077398),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030600.0
KNDJP3AE1G,King,Seattle,WA,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,46.0,106774188,POINT (-122.304356 47.715668),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000202.0
5YJSA1DP6D,King,Auburn,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,47.0,122298914,POINT (-122.1550193 47.2884536),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029602.0
5YJSA1H18E,King,Bellevue,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,48.0,119330200,POINT (-122.167394 47.614119),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023701.0
KNDJX3AE4G,King,Seattle,WA,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,32.0,153963589,POINT (-122.342434 47.736655),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001400.0
5YJSA1S1XE,King,Sammamish,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,5.0,101083055,POINT (-122.0209893 47.5632565),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032223.0
5YJSA1H11E,King,Kirkland,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,45.0,222335347,POINT (-122.2026532 47.7210518),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021904.0
5YJSA1DP1D,Snohomish,Lake Stevens,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,44.0,307941070,POINT (-122.0816912 48.0122934),PUGET SOUND ENERGY INC,53061052605.0
5YJSA1H1XE,King,Kent,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,47.0,208455460,POINT (-122.201564 47.402358),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029406.0
2C4RC1N75K,King,Seattle,WA,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,39995.0,37.0,477264315,POINT (-122.3016563 47.5858977),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009500.0
KNDJX3AE0J,King,Kirkland,WA,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,111.0,33950.0,45.0,233709332,POINT (-122.2026532 47.7210518),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022006.0
KNDJX3AE0G,King,Pacific,WA,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,30.0,233780025,POINT (-122.248919 47.264624),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030902.0
5YJSA1DP5D,King,Burien,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,34.0,246139834,POINT (-122.3551826 47.5000521),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026802.0
KNDJX3AE3G,King,Seattle,WA,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,36.0,129750190,POINT (-122.3691687 47.7403542),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001400.0
5YJRE11B08,Kitsap,Port Orchard,WA,2008,TESLA,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,98950.0,26.0,477996298,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092902.0
5YJSA1CN0D,Yakima,Sunnyside,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,15.0,128659436,POINT (-120.0061707 46.3264238),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077002006.0
KNDJX3AE2G,King,Seattle,WA,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,46.0,476094671,POINT (-122.304356 47.715668),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000201.0
5YJSA1CG6D,Snohomish,Snohomish,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,1.0,349269154,POINT (-122.121841 47.841036),PUGET SOUND ENERGY INC,53061052112.0
5YJSA1H29E,Yakima,Selah,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,15.0,122190463,POINT (-120.5517376 46.6678647),PACIFICORP,53077003400.0
5YJSA1CN4D,King,Kenmore,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,46.0,255679777,POINT (-122.2478069 47.75817),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021600.0
5YJSA1H2XE,King,Lake Forest Park,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,46.0,8888988,POINT (-122.301507 47.761784),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033021300.0
5YJSA1S15E,Clark,Vancouver,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,17.0,476675475,POINT (-122.5241377 45.6278995),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041317.0
5YJSA1H1XE,King,Kirkland,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,1.0,192749315,POINT (-122.2026532 47.7210518),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203.0
5YJSA1H17E,King,Sammamish,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,41.0,213706790,POINT (-122.0181135 47.5880568),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032215.0
5YJSA1CN2D,King,Kirkland,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,48.0,223792383,POINT (-122.1925969 47.676241),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022701.0
5YJRE11B88,King,Kirkland,WA,2008,TESLA,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,98950.0,45.0,146370661,POINT (-122.1925969 47.676241),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022401.0
5YJSA1H18E,King,Seattle,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,46.0,188638208,POINT (-122.304356 47.715668),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000102.0
